frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
28,3.0,[691.2180706628208 1450.0265769468056 1403.1687592945125 2104.8553535905257],[917.2578735351562 1876.4208984375 1104.0777587890625 1963.956298828125],0.4417632222175598,AM41JNR,0.162039942271354
29,5.0,[2199.859312760033 1213.2081395389564 2815.941085872729 1823.0667486752386],[2425.7880859375 1635.334716796875 2600.1162109375 1723.3916015625],0.6672403812408447,NL51VSU,0.17784555783193984
31,5.0,[2202.3818242134817 1221.306266072998 2820.123848263813 1832.397876628132],[2427.09912109375 1636.975341796875 2597.481689453125 1721.5125732421875],0.6428001523017883,NV51VSU,0.15893421101883554
33,5.0,[2201.6743630501087 1225.3664837751676 2822.4763829760877 1839.6944004280163],[2428.27734375 1647.83349609375 2604.875244140625 1734.9320068359375],0.6326292157173157,MT51VSU,0.013498346290083863
33,3.0,[677.7616878632499 1466.5967039005293 1396.6096501054549 2120.2831458092733],[889.9365234375 1882.732177734375 1152.1446533203125 1991.0302734375],0.5937406420707703,NA13NRU,0.5365416859271872
38,3.0,[669.7661435699117 1492.5153786415176 1390.2034307925062 2141.800275818115],[921.7152099609375 1910.683349609375 1148.950927734375 2009.1981201171875],0.6344668865203857,NA13NRU,0.3263707624051037
39,5.0,[2206.052206260013 1254.1045481972008 2838.008019297863 1864.8151854336832],[2433.0595703125 1663.203125 2618.026123046875 1750.7059326171875],0.598462700843811,MW51VSU,0.01255346879462106
39,3.0,[670.0146123027984 1496.2440126008141 1391.4218288788347 2145.5539181438808],[897.9825439453125 1912.6666259765625 1141.611328125 2015.1925048828125],0.5803307294845581,MA13NRU,0.14617595974679407
40,3.0,[667.814668362598 1498.981466281216 1390.5750738604959 2148.1312878106146],[899.1053466796875 1923.2083740234375 1132.998779296875 2019.995361328125],0.6198962926864624,NA13NRU,0.5922188473788127
41,3.0,[664.2116638588341 1503.5162315958223 1389.6556720779072 2150.683869267975],[889.2442016601562 1925.5657958984375 1147.5162353515625 2033.6126708984375],0.6250227689743042,NA13NRU,0.2821187153256396
42,3.0,[658.2942880187526 1508.848362978274 1385.809627350522 2152.8576907694187],[881.5942993164062 1928.057373046875 1151.17529296875 2040.117919921875],0.6107134819030762,NA13NRU,0.15574566426207265
43,3.0,[655.4209531894301 1511.2604890284374 1384.5165058352027 2153.0618768750287],[882.160400390625 1928.0299072265625 1151.306396484375 2040.1864013671875],0.6135548949241638,NA13NRU,0.5960291489554261
44,3.0,[654.3048936836151 1511.9003719226412 1384.1430241199098 2152.6494804966183],[884.3243408203125 1929.78369140625 1133.9110107421875 2037.832763671875],0.6457892060279846,NA13NRU,0.4259600055045402
45,3.0,[653.2905568662973 1515.3283036101466 1384.6963867581812 2154.231597875817],[896.8497314453125 1934.321044921875 1150.1612548828125 2043.2197265625],0.6195222735404968,NA13NRU,0.2192352495502004
46,3.0,[651.7207546859679 1517.4796760517056 1383.6035227044013 2153.3488549723515],[905.9590454101562 1940.5521240234375 1143.054931640625 2045.0079345703125],0.6491377353668213,NA13NRU,0.4851440307157805
47,3.0,[650.106288614432 1518.8918554463103 1383.4773881168499 2152.2958873387574],[881.924560546875 1944.650390625 1147.1024169921875 2060.48291015625],0.6295193433761597,NA13NRU,0.3730341737264892
48,3.0,[649.2529119842138 1521.5821764276484 1382.3823801380788 2151.7626726496355],[870.8201904296875 1953.8455810546875 1124.1495361328125 2065.646728515625],0.6292368173599243,NA13NRU,0.12547171872088242
49,3.0,[649.0820750919132 1523.205758458106 1381.8153606370024 2151.034267364623],[871.0940551757812 1953.6336669921875 1125.4815673828125 2065.94287109375],0.6302458643913269,NA13MRU,0.27110236322993614
50,3.0,[648.823491356561 1527.1323738771891 1381.0444263851296 2151.7092587089346],[865.9931030273438 1963.0587158203125 1133.6839599609375 2073.993408203125],0.6179601550102234,NA13MRU,0.2968689351383371
51,3.0,[648.389247318717 1532.3542852687826 1381.4637824799381 2152.873594951541],[871.7706298828125 1969.9244384765625 1129.4337158203125 2073.537109375],0.6476447582244873,NA13NRU,0.23193719068961488
52,3.0,[646.5411898913336 1536.8704950923707 1381.3953384009287 2153.6401534209895],[882.9104614257812 1974.664794921875 1139.5697021484375 2085.01220703125],0.6059861183166504,NA13NRU,0.6055008248018151
53,3.0,[645.8691326087642 1539.5578616152595 1381.9221185161357 2152.6009444135357],[871.4148559570312 1973.337158203125 1120.81103515625 2083.24072265625],0.6555997133255005,NA13NRU,0.4132855554212706
54,3.0,[639.5272462238268 1543.885315182507 1380.5770768657558 2152.279085749365],[861.511474609375 1976.7154541015625 1128.2891845703125 2091.920166015625],0.6775670647621155,NA13MRU,0.15979015273094957
55,3.0,[638.9106688663765 1546.1924901227364 1381.9181465008528 2151.2651127393333],[861.656982421875 1976.8609619140625 1128.193359375 2091.77685546875],0.6778597831726074,NA13MRU,0.15979015273094957
56,3.0,[638.5137510894704 1549.948198706124 1380.2873823932086 2151.7673127890034],[873.4421997070312 1982.172119140625 1117.0804443359375 2092.927490234375],0.6682271361351013,NA13MRU,0.07785639596405962
56,5.0,[2207.5883116665746 1265.247746237412 2858.2613412336786 1917.3884908893217],[2446.613525390625 1726.7420654296875 2625.613037109375 1804.3201904296875],0.6440696716308594,WT51VSU,0.00815648774925878
58,3.0,[634.621211618165 1557.8031749935737 1374.4963612536324 2152.0319598797046],[863.1394653320312 1995.922119140625 1119.4605712890625 2106.29296875],0.6604556441307068,NA13NRU,0.3466824340055497
59,3.0,[635.2066049591442 1562.7892646994735 1374.6127155686113 2152.708509018967],[865.0125732421875 2007.213134765625 1097.49462890625 2111.021484375],0.6580686569213867,NA13NRV,0.4976139377826392
60,3.0,[634.2530041849766 1565.8121622764932 1372.7704254927667 2152.325233476847],[887.1677856445312 2017.4725341796875 1096.1734619140625 2117.443603515625],0.6688153743743896,NA13NRU,0.42406487367033513
61,3.0,[634.3617225448536 1567.399070427476 1372.0625435269174 2151.5102166915453],[886.8482666015625 2017.3751220703125 1096.072998046875 2117.626708984375],0.6683514714241028,NA13NRU,0.5099255396525505
62,3.0,[636.5271420265169 1570.572340934513 1373.0481084315363 2151.4570100653973],[881.537109375 2020.9251708984375 1119.921142578125 2125.450439453125],0.7109894752502441,NA13NRU,0.5766769004255364
63,3.0,[635.7504774307772 1575.6887698650464 1371.1748299488936 2151.903365496977],[848.9954833984375 2024.2305908203125 1111.8226318359375 2133.5078125],0.6758825778961182,NA13NRU,0.3267452211898983
64,3.0,[631.5978164823454 1581.5724787849117 1368.5649831298406 2151.741551214895],[836.76123046875 2028.037353515625 1110.60498046875 2136.696533203125],0.6685891151428223,NA13NRU,0.36503576160479717
65,3.0,[623.6403302801048 1586.7862867135013 1363.7837682378452 2151.699740676127],[843.4906005859375 2030.000244140625 1110.622802734375 2138.80078125],0.6452028155326843,NA13NRU,0.1754244893241357
86,6.0,[1134.8498119031678 1144.6005199949932 1709.992275043488 1601.1946339783026],[1352.162353515625 1421.63671875 1513.904296875 1506.65625],0.2978270351886749,GX15OCJ,0.33828920055777084
90,5.0,[2220.955660330741 1376.959333438998 2913.214253268434 2061.648066058693],[2475.208251953125 1846.553466796875 2669.087646484375 1937.244140625],0.6574711799621582,HT51VSU,0.0847659880361758
99,5.0,[2226.1979168274165 1403.9595557559717 2930.2484182189555 2093.372607612731],[2478.158447265625 1884.176513671875 2674.3720703125 1972.431884765625],0.7005760073661804,MT51VSU,0.2730565293257633
109,6.0,[1102.6694589009803 1184.8703267691349 1706.9506784558453 1670.7232392121673],[1306.4613037109375 1476.1951904296875 1492.6839599609375 1565.208984375],0.29942548274993896,AC15OGJ,0.20636226348353423
114,5.0,[2236.862640779255 1450.410060453952 2956.374095468111 2144.195349960696],[2495.583251953125 1946.54736328125 2695.55712890625 2035.647216796875],0.6552548408508301,CD51VSU,0.06770684987122233
